module,controller,method,path,auth_guard,dto_in,dto_out,statuses,file,line
admin,AdminController,GET,/admin/dashboard,,,{ users: { total: number; active: number; }; orders: { total: number; pending: number; }; drivers: { total: number; available: number; }; vendors: { total: number; }; stores: { active: number; }; },,src\modules\admin\admin.controller.ts,29
admin,AdminController,GET,/admin/stats/today,,,{ newUsers: number; newOrders: number; deliveredOrders: number; },,src\modules\admin\admin.controller.ts,35
admin,AdminController,GET,/admin/stats/financial,,,"import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/admin/admin.service"").FinancialStats",,src\modules\admin\admin.controller.ts,41
admin,AdminController,GET,/admin/dashboard/orders-by-status,,"@Query: string, @Query: string",any[],,src\modules\admin\admin.controller.ts,47
admin,AdminController,GET,/admin/dashboard/revenue,,"@Query: 'daily' | 'weekly' | 'monthly', @Query: string, @Query: string",any[],,src\modules\admin\admin.controller.ts,56
admin,AdminController,GET,/admin/dashboard/live-metrics,,,{ activeOrders: number; activeDrivers: number; recentOrders: number; },,src\modules\admin\admin.controller.ts,66
admin,AdminController,GET,/admin/drivers,,"@Query: string, @Query: boolean, @Query: number, @Query: number","{ data: (import(""mongoose"").Document<unknown, {}, import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/driver/entities/driver.entity"").Driver, {}, {}> & import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/driver/entities/driver.entity"").Driver & Required<{ _id: unknown; }> & { __v: number; })[]; total: number; page: number; limit: number; totalPages: number; }",,src\modules\admin\admin.controller.ts,74
admin,AdminController,GET,/admin/drivers/:id,,@Param: string,"{ driver: import(""mongoose"").Document<unknown, {}, import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/driver/entities/driver.entity"").Driver, {}, {}> & import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/driver/entities/driver.entity"").Driver & Required<{ _id: unknown; }> & { __v: number; }; stats: { totalOrders: number; completedOrders: number; cancelledOrders: number; }; }",,src\modules\admin\admin.controller.ts,85
admin,AdminController,GET,/admin/drivers/:id/performance,,"@Param: string, @Query: string, @Query: string",,,src\modules\admin\admin.controller.ts,91
admin,AdminController,GET,/admin/drivers/:id/financials,,@Param: string,{ wallet: any; },,src\modules\admin\admin.controller.ts,101
admin,AdminController,POST,/admin/drivers/:id/ban,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,107
admin,AdminController,POST,/admin/drivers/:id/unban,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,117
admin,AdminController,PATCH,/admin/drivers/:id/adjust-balance,,"@Param: string, @Body: { amount: number; reason: string; type: 'credit' | 'debit' }",{ success: boolean; newBalance: any; },,src\modules\admin\admin.controller.ts,126
admin,AdminController,GET,/admin/withdrawals,,"@Query: string, @Query: string, @Query: number, @Query: number",{ data: never[]; total: number; page: number; limit: number; totalPages: number; },,src\modules\admin\admin.controller.ts,144
admin,AdminController,GET,/admin/withdrawals/pending,,,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,155
admin,AdminController,PATCH,/admin/withdrawals/:id/approve,,"@Param: string, @Body: { transactionRef?: string; notes?: string }",{ success: boolean; },,src\modules\admin\admin.controller.ts,161
admin,AdminController,PATCH,/admin/withdrawals/:id/reject,,"@Param: string, @Body: { reason: string }",{ success: boolean; },,src\modules\admin\admin.controller.ts,176
admin,AdminController,GET,/admin/stores/pending,,,"{ data: (import(""mongoose"").Document<unknown, {}, import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/store/entities/store.entity"").Store, {}, {}> & import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/store/entities/store.entity"").Store & Required<{ _id: unknown; }> & { __v: number; })[]; total: number; }",,src\modules\admin\admin.controller.ts,192
admin,AdminController,POST,/admin/stores/:id/approve,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,198
admin,AdminController,POST,/admin/stores/:id/reject,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,207
admin,AdminController,POST,/admin/stores/:id/suspend,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,217
admin,AdminController,GET,/admin/vendors/pending,,,"{ data: (import(""mongoose"").Document<unknown, {}, import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/vendor/entities/vendor.entity"").Vendor, {}, {}> & import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/vendor/entities/vendor.entity"").Vendor & Required<{ _id: unknown; }> & { __v: number; })[]; total: number; }",,src\modules\admin\admin.controller.ts,229
admin,AdminController,POST,/admin/vendors/:id/approve,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,235
admin,AdminController,POST,/admin/vendors/:id/reject,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,244
admin,AdminController,POST,/admin/vendors/:id/suspend,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,254
admin,AdminController,GET,/admin/users,,"@Query: string, @Query: boolean, @Query: number, @Query: number","{ data: (import(""mongoose"").Document<unknown, {}, import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/auth/entities/user.entity"").User, {}, {}> & import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/auth/entities/user.entity"").User & Required<{ _id: unknown; }> & { __v: number; })[]; total: number; page: number; limit: number; totalPages: number; }",,src\modules\admin\admin.controller.ts,266
admin,AdminController,GET,/admin/users/:id,,@Param: string,"{ user: import(""mongoose"").Document<unknown, {}, import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/auth/entities/user.entity"").User, {}, {}> & import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/auth/entities/user.entity"").User & Required<{ _id: unknown; }> & { __v: number; }; orderStats: any; }",,src\modules\admin\admin.controller.ts,277
admin,AdminController,POST,/admin/users/:id/ban,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,283
admin,AdminController,POST,/admin/users/:id/unban,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,293
admin,AdminController,GET,/admin/reports/daily,,@Query: string,{ date: Date; orders: number; revenue: any; newUsers: number; },,src\modules\admin\admin.controller.ts,304
admin,AdminController,GET,/admin/reports/weekly,,"@Query: string, @Query: string",{ message: string; },,src\modules\admin\admin.controller.ts,310
admin,AdminController,GET,/admin/reports/monthly,,"@Query: number, @Query: number",{ message: string; },,src\modules\admin\admin.controller.ts,319
admin,AdminController,GET,/admin/reports/export,,"@Query: 'orders' | 'revenue' | 'drivers' | 'stores', @Query: string, @Query: string",{ message: string; },,src\modules\admin\admin.controller.ts,328
admin,AdminController,POST,/admin/notifications/send-bulk,,"@Body: {
      title: string;
      body: string;
      userType?: 'all' | 'drivers' | 'vendors' | 'customers';
      userIds?: string[];
    }",{ success: boolean; message: string; recipients: number; },,src\modules\admin\admin.controller.ts,340
admin,AdminController,GET,/admin/drivers/:id/assets,,@Param: string,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,363
admin,AdminController,POST,/admin/drivers/assets,,"@Body: {
      type: string;
      name: string;
      serialNumber?: string;
      value: number;
    }",{ success: boolean; message: string; asset: any; },,src\modules\admin\admin.controller.ts,369
admin,AdminController,POST,/admin/drivers/:driverId/assets/:assetId/assign,,"@Param: string, @Param: string",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,384
admin,AdminController,POST,/admin/drivers/:driverId/assets/:assetId/return,,"@Param: string, @Param: string, @Body: { condition?: string; notes?: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,394
admin,AdminController,GET,/admin/drivers/:id/documents,,@Param: string,{ documents: any; },,src\modules\admin\admin.controller.ts,413
admin,AdminController,POST,/admin/drivers/:id/documents/:docId/verify,,"@Param: string, @Param: string, @Body: { verified: boolean; notes?: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,419
admin,AdminController,PATCH,/admin/drivers/:id/documents/:docId,,"@Param: string, @Param: string, @Body: { status: string; expiryDate?: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,436
admin,AdminController,GET,/admin/drivers/:id/attendance,,"@Param: string, @Query: number, @Query: number",{ data: never[]; summary: { present: number; absent: number; late: number; }; },,src\modules\admin\admin.controller.ts,449
admin,AdminController,GET,/admin/drivers/attendance/summary,,@Query: string,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,459
admin,AdminController,POST,/admin/drivers/:id/attendance/adjust,,"@Param: string, @Body: {
      date: string;
      checkIn?: string;
      checkOut?: string;
      reason: string;
    }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,467
admin,AdminController,GET,/admin/shifts,,,{ data: never[]; },,src\modules\admin\admin.controller.ts,485
admin,AdminController,POST,/admin/shifts,,"@Body: {
      name: string;
      startTime: string;
      endTime: string;
      days: number[];
    }",{ success: boolean; message: string; shift: any; },,src\modules\admin\admin.controller.ts,491
admin,AdminController,PATCH,/admin/shifts/:id,,"@Param: string, @Body: any",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,506
admin,AdminController,POST,/admin/shifts/:shiftId/assign/:driverId,,"@Param: string, @Param: string, @Body: { startDate: string; endDate?: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,516
admin,AdminController,GET,/admin/drivers/:id/shifts,,@Param: string,{ data: never[]; },,src\modules\admin\admin.controller.ts,533
admin,AdminController,GET,/admin/drivers/leave-requests,,"@Query: string, @Query: number, @Query: number",{ data: never[]; total: number; page: number; limit: number; },,src\modules\admin\admin.controller.ts,541
admin,AdminController,PATCH,/admin/drivers/leave-requests/:id/approve,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,551
admin,AdminController,PATCH,/admin/drivers/leave-requests/:id/reject,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,560
admin,AdminController,GET,/admin/drivers/:id/leave-balance,,@Param: string,{ annual: number; sick: number; emergency: number; used: number; },,src\modules\admin\admin.controller.ts,570
admin,AdminController,PATCH,/admin/drivers/:id/leave-balance/adjust,,"@Param: string, @Body: { days: number; reason: string; type: 'add' | 'deduct' }",{ success: boolean; message: string; newBalance: number; },,src\modules\admin\admin.controller.ts,576
admin,AdminController,GET,/admin/quality/reviews,,"@Query: 'driver' | 'store' | 'order', @Query: number",{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,594
admin,AdminController,POST,/admin/quality/reviews,,"@Body: {
      type: 'driver' | 'store' | 'order';
      entityId: string;
      rating: number;
      comments: string;
    }",{ success: boolean; message: string; review: any; },,src\modules\admin\admin.controller.ts,603
admin,AdminController,GET,/admin/quality/metrics,,"@Query: string, @Query: string",{ orderRating: any; driverRating: any; },,src\modules\admin\admin.controller.ts,618
admin,AdminController,GET,/admin/support/tickets,,"@Query: string, @Query: string, @Query: number, @Query: number",{ data: never[]; total: number; page: number; limit: number; },,src\modules\admin\admin.controller.ts,629
admin,AdminController,PATCH,/admin/support/tickets/:id/assign,,"@Param: string, @Body: { assigneeId: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,640
admin,AdminController,PATCH,/admin/support/tickets/:id/resolve,,"@Param: string, @Body: { resolution: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,650
admin,AdminController,GET,/admin/support/sla-metrics,,,{ averageResponseTime: number; averageResolutionTime: number; breachedSLA: number; },,src\modules\admin\admin.controller.ts,660
admin,AdminController,GET,/admin/settings,,,{ general: {}; payment: {}; delivery: {}; commission: {}; },,src\modules\admin\admin.controller.ts,668
admin,AdminController,PATCH,/admin/settings,,@Body: any,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,674
admin,AdminController,GET,/admin/settings/feature-flags,,,{ flags: {}; },,src\modules\admin\admin.controller.ts,683
admin,AdminController,PATCH,/admin/settings/feature-flags/:flag,,"@Param: string, @Body: { enabled: boolean }",{ success: boolean; flag: string; enabled: boolean; },,src\modules\admin\admin.controller.ts,689
admin,AdminController,POST,/admin/backup/create,,@Body: { collections?: string[]; description?: string },{ success: boolean; message: string; backupId: string; },,src\modules\admin\admin.controller.ts,701
admin,AdminController,GET,/admin/backup/list,,"@Query: number, @Query: number",{ data: never[]; total: number; page: number; limit: number; },,src\modules\admin\admin.controller.ts,710
admin,AdminController,POST,/admin/backup/:id/restore,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,719
admin,AdminController,GET,/admin/backup/:id/download,,@Param: string,{ url: string; },,src\modules\admin\admin.controller.ts,728
admin,AdminController,GET,/admin/data-deletion/requests,,@Query: string,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,736
admin,AdminController,PATCH,/admin/data-deletion/:id/approve,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,744
admin,AdminController,PATCH,/admin/data-deletion/:id/reject,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,753
admin,AdminController,GET,/admin/security/password-attempts,,@Query: number,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,765
admin,AdminController,POST,/admin/security/reset-password/:userId,,"@Param: string, @Body: { tempPassword?: string }",{ success: boolean; message: string; tempPassword: string; },,src\modules\admin\admin.controller.ts,773
admin,AdminController,POST,/admin/security/unlock-account/:userId,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,783
admin,AdminController,POST,/admin/activation/generate,,@Body: { count: number; expiryDays?: number; userType?: string },{ success: boolean; codes: string[]; count: number; },,src\modules\admin\admin.controller.ts,794
admin,AdminController,GET,/admin/activation/codes,,@Query: string,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,808
admin,AdminController,GET,/admin/marketers,,"@Query: string, @Query: number, @Query: number",{ data: never[]; total: number; page: number; limit: number; },,src\modules\admin\admin.controller.ts,818
admin,AdminController,GET,/admin/marketers/:id,,@Param: string,{ marketer: {}; stats: {}; },,src\modules\admin\admin.controller.ts,828
admin,AdminController,POST,/admin/marketers,,"@Body: {
      fullName: string;
      phone: string;
      email?: string;
      territory?: string;
    }",{ success: boolean; message: string; marketer: any; },,src\modules\admin\admin.controller.ts,834
admin,AdminController,PATCH,/admin/marketers/:id,,"@Param: string, @Body: any",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,849
admin,AdminController,GET,/admin/marketers/:id/performance,,"@Param: string, @Query: string, @Query: string",{ storesOnboarded: number; totalCommission: number; activeStores: number; periodRevenue: number; },,src\modules\admin\admin.controller.ts,859
admin,AdminController,GET,/admin/marketers/:id/stores,,@Param: string,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,873
admin,AdminController,GET,/admin/marketers/:id/commissions,,"@Param: string, @Query: string",{ data: never[]; total: number; totalAmount: number; },,src\modules\admin\admin.controller.ts,879
admin,AdminController,POST,/admin/marketers/:id/activate,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,888
admin,AdminController,POST,/admin/marketers/:id/deactivate,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,897
admin,AdminController,PATCH,/admin/marketers/:id/adjust-commission,,"@Param: string, @Body: { rate: number; reason: string }",{ success: boolean; message: string; newRate: number; },,src\modules\admin\admin.controller.ts,911
admin,AdminController,GET,/admin/marketers/statistics,,"@Query: string, @Query: string",{ totalMarketers: number; activeMarketers: number; totalStoresOnboarded: number; totalCommissionsPaid: number; },,src\modules\admin\admin.controller.ts,926
admin,AdminController,GET,/admin/marketers/export,,,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,935
admin,AdminController,GET,/admin/onboarding/applications,,"@Query: string, @Query: string, @Query: number, @Query: number",{ data: never[]; total: number; page: number; limit: number; },,src\modules\admin\admin.controller.ts,943
admin,AdminController,GET,/admin/onboarding/:id/details,,@Param: string,{ application: {}; },,src\modules\admin\admin.controller.ts,959
admin,AdminController,PATCH,/admin/onboarding/:id/approve,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,965
admin,AdminController,PATCH,/admin/onboarding/:id/reject,,"@Param: string, @Body: { reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,974
admin,AdminController,GET,/admin/onboarding/statistics,,,{ pending: number; approved: number; rejected: number; total: number; },,src\modules\admin\admin.controller.ts,988
admin,AdminController,GET,/admin/commission-plans,,,{ data: never[]; },,src\modules\admin\admin.controller.ts,996
admin,AdminController,POST,/admin/commission-plans,,"@Body: {
      name: string;
      type: string;
      rate: number;
      minOrders?: number;
      maxOrders?: number;
    }",{ success: boolean; message: string; plan: any; },,src\modules\admin\admin.controller.ts,1002
admin,AdminController,PATCH,/admin/commission-plans/:id,,"@Param: string, @Body: any",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1018
admin,AdminController,GET,/admin/admin-users,,,{ data: never[]; },,src\modules\admin\admin.controller.ts,1030
admin,AdminController,POST,/admin/admin-users,,@Body: { fullName: string; email: string; role: string; password: string },{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1036
admin,AdminController,PATCH,/admin/admin-users/:id,,"@Param: string, @Body: any",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1045
admin,AdminController,POST,/admin/admin-users/:id/reset-password,,@Param: string,{ success: boolean; tempPassword: string; },,src\modules\admin\admin.controller.ts,1051
admin,AdminController,GET,/admin/audit-logs,,"@Query: string, @Query: string, @Query: string, @Query: string",{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,1059
admin,AdminController,GET,/admin/audit-logs/:id,,@Param: string,{ log: {}; },,src\modules\admin\admin.controller.ts,1070
admin,AdminController,GET,/admin/system/health,,,{ status: string; database: string; redis: string; uptime: number; memory: NodeJS.MemoryUsage; },,src\modules\admin\admin.controller.ts,1078
admin,AdminController,GET,/admin/system/metrics,,,{ cpu: number; memory: NodeJS.MemoryUsage; uptime: number; activeConnections: number; },,src\modules\admin\admin.controller.ts,1084
admin,AdminController,GET,/admin/system/errors,,@Query: string,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,1090
admin,AdminController,GET,/admin/database/stats,,,{ users: number; orders: number; drivers: number; stores: number; vendors: number; },,src\modules\admin\admin.controller.ts,1098
admin,AdminController,POST,/admin/database/cleanup,,,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1104
admin,AdminController,GET,/admin/payments,,"@Query: string, @Query: string, @Query: number, @Query: number",{ data: never[]; total: number; page: number; limit: number; },,src\modules\admin\admin.controller.ts,1112
admin,AdminController,GET,/admin/payments/:id,,@Param: string,{ payment: {}; },,src\modules\admin\admin.controller.ts,1123
admin,AdminController,POST,/admin/payments/:id/refund,,"@Param: string, @Body: { reason: string; amount?: number }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1129
admin,AdminController,GET,/admin/promotions/active,,,{ data: never[]; },,src\modules\admin\admin.controller.ts,1141
admin,AdminController,POST,/admin/promotions/:id/pause,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1147
admin,AdminController,POST,/admin/promotions/:id/resume,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1153
admin,AdminController,GET,/admin/coupons/usage,,@Query: string,{ totalUsage: number; uniqueUsers: number; },,src\modules\admin\admin.controller.ts,1161
admin,AdminController,POST,/admin/coupons/:code/deactivate,,@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1167
admin,AdminController,GET,/admin/notifications/history,,"@Query: number, @Query: number",{ data: never[]; total: number; page: number; limit: number; },,src\modules\admin\admin.controller.ts,1175
admin,AdminController,GET,/admin/notifications/stats,,,{ sent: number; delivered: number; failed: number; },,src\modules\admin\admin.controller.ts,1184
admin,AdminController,GET,/admin/orders/stats/by-city,,"@Query: string, @Query: string",{ data: any[]; },,src\modules\admin\admin.controller.ts,1192
admin,AdminController,GET,/admin/orders/stats/by-payment-method,,,{ data: any[]; },,src\modules\admin\admin.controller.ts,1201
admin,AdminController,GET,/admin/orders/disputed,,,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,1207
admin,AdminController,POST,/admin/orders/:id/dispute/resolve,,"@Param: string, @Body: { resolution: string; refundAmount?: number }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1213
admin,AdminController,GET,/admin/drivers/stats/top-performers,,@Query: number,{ data: never[]; },,src\modules\admin\admin.controller.ts,1225
admin,AdminController,GET,/admin/drivers/stats/by-status,,,{ data: any[]; },,src\modules\admin\admin.controller.ts,1231
admin,AdminController,POST,/admin/drivers/:id/payout/calculate,,"@Param: string, @Query: string, @Query: string",{ totalEarnings: number; orders: number; payoutAmount: number; },,src\modules\admin\admin.controller.ts,1237
admin,AdminController,GET,/admin/stores/stats/top-performers,,@Query: number,{ data: never[]; },,src\modules\admin\admin.controller.ts,1249
admin,AdminController,GET,/admin/stores/:id/orders-history,,"@Param: string, @Query: string, @Query: string",{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,1255
admin,AdminController,GET,/admin/vendors/:id/settlements-history,,@Param: string,{ data: never[]; total: number; },,src\modules\admin\admin.controller.ts,1267
admin,AdminController,GET,/admin/vendors/:id/financials,,@Param: string,{ totalRevenue: number; pendingSettlements: number; paidSettlements: number; },,src\modules\admin\admin.controller.ts,1273
admin,AdminController,GET,/admin/users/:id/wallet-history,,@Param: string,{ data: never[]; balance: number; },,src\modules\admin\admin.controller.ts,1281
admin,AdminController,GET,/admin/users/:id/orders-history,,@Param: string,"{ data: (import(""mongoose"").Document<unknown, {}, import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/order/entities/order.entity"").Order, {}, {}> & import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/order/entities/order.entity"").Order & Required<{ _id: unknown; }> & { __v: number; })[]; total: number; }",,src\modules\admin\admin.controller.ts,1287
admin,AdminController,PATCH,/admin/users/:id/wallet/adjust,,"@Param: string, @Body: { amount: number; type: 'credit' | 'debit'; reason: string }",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1293
admin,AdminController,GET,/admin/reports/drivers/performance,,"@Query: string, @Query: string",{ data: never[]; },,src\modules\admin\admin.controller.ts,1305
admin,AdminController,GET,/admin/reports/stores/performance,,"@Query: string, @Query: string",{ data: never[]; },,src\modules\admin\admin.controller.ts,1314
admin,AdminController,GET,/admin/reports/financial/detailed,,"@Query: string, @Query: string",{ revenue: number; costs: number; profit: number; breakdown: never[]; },,src\modules\admin\admin.controller.ts,1323
admin,AdminController,GET,/admin/reports/users/activity,,,{ activeUsers: number; newUsers: number; },,src\modules\admin\admin.controller.ts,1332
admin,AdminController,GET,/admin/analytics/overview,,"@Query: string, @Query: string",{ orders: {}; revenue: {}; users: {}; drivers: {}; },,src\modules\admin\admin.controller.ts,1340
admin,AdminController,GET,/admin/analytics/trends,,"@Query: string, @Query: number",{ data: never[]; },,src\modules\admin\admin.controller.ts,1349
admin,AdminController,GET,/admin/analytics/comparisons,,"@Query: string, @Query: string, @Query: string, @Query: string",{ period1: {}; period2: {}; difference: {}; },,src\modules\admin\admin.controller.ts,1355
admin,AdminController,GET,/admin/cms/pages,,,{ data: never[]; },,src\modules\admin\admin.controller.ts,1368
admin,AdminController,POST,/admin/cms/pages,,@Body: any,{ success: boolean; page: any; },,src\modules\admin\admin.controller.ts,1374
admin,AdminController,PATCH,/admin/cms/pages/:id,,"@Param: string, @Body: any",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1380
admin,AdminController,POST,/admin/emergency/pause-system,@Roles('superadmin'),@Body: { reason: string },{ success: boolean; message: string; reason: string; },,src\modules\admin\admin.controller.ts,1388
admin,AdminController,POST,/admin/emergency/resume-system,@Roles('superadmin'),,{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1398
admin,AdminController,GET,/admin/export/all-data,,,{ success: boolean; url: string; },,src\modules\admin\admin.controller.ts,1407
admin,AdminController,POST,/admin/import/data,,@Body: { data: any; type: string },{ success: boolean; imported: number; },,src\modules\admin\admin.controller.ts,1413
admin,AdminController,POST,/admin/cache/clear,,@Body: { key?: string },{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1421
admin,AdminController,GET,/admin/cache/stats,,,{ keys: number; size: number; hitRate: number; },,src\modules\admin\admin.controller.ts,1427
admin,AdminController,GET,/admin/roles,,,{ data: { id: string; name: string; permissions: never[]; }[]; },,src\modules\admin\admin.controller.ts,1435
admin,AdminController,POST,/admin/roles,,@Body: { name: string; permissions: string[] },{ success: boolean; role: any; },,src\modules\admin\admin.controller.ts,1441
admin,AdminController,PATCH,/admin/roles/:id,,"@Param: string, @Body: any",{ success: boolean; message: string; },,src\modules\admin\admin.controller.ts,1447
akhdimni,AkhdimniController,POST,/akhdimni/errands,@Auth(AuthType.FIREBASE),@Body: CreateErrandDto,"import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/akhdimni/entities/errand-order.entity"").ErrandOrder",,src\modules\akhdimni\akhdimni.controller.ts,35
akhdimni,AkhdimniController,GET,/akhdimni/my-errands,@Auth(AuthType.FIREBASE),@Query: string,any[],,src\modules\akhdimni\akhdimni.controller.ts,45
akhdimni,AkhdimniController,GET,/akhdimni/errands/:id,@Auth(AuthType.FIREBASE),@Param: string,"import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/akhdimni/entities/errand-order.entity"").ErrandOrder",,src\modules\akhdimni\akhdimni.controller.ts,55
akhdimni,AkhdimniController,PATCH,/akhdimni/errands/:id/cancel,@Auth(AuthType.FIREBASE),"@Param: string, @Body: { reason: string }","import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/akhdimni/entities/errand-order.entity"").ErrandOrder",,src\modules\akhdimni\akhdimni.controller.ts,62
akhdimni,AkhdimniController,POST,/akhdimni/errands/:id/rate,@Auth(AuthType.FIREBASE),"@Param: string, @Body: RateErrandDto","import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/akhdimni/entities/errand-order.entity"").ErrandOrder",,src\modules\akhdimni\akhdimni.controller.ts,69
akhdimni,AkhdimniController,GET,/akhdimni/driver/my-errands,"@Auth(AuthType.FIREBASE), @Roles('driver')",@Query: string,any[],,src\modules\akhdimni\akhdimni.controller.ts,78
akhdimni,AkhdimniController,PATCH,/akhdimni/errands/:id/status,"@Auth(AuthType.FIREBASE), @Roles('driver')","@Param: string, @Body: UpdateErrandStatusDto","import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/akhdimni/entities/errand-order.entity"").ErrandOrder",,src\modules\akhdimni\akhdimni.controller.ts,89
akhdimni,AkhdimniController,GET,/akhdimni/admin/errands,"@Auth(AuthType.JWT), @Roles('admin', 'superadmin')","@Query: string, @Query: number, @Query: string","import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/akhdimni/services/akhdimni.service"").PaginatedOrdersResult",,src\modules\akhdimni\akhdimni.controller.ts,102
akhdimni,AkhdimniController,POST,/akhdimni/admin/errands/:id/assign-driver,"@Auth(AuthType.JWT), @Roles('admin', 'superadmin')","@Param: string, @Body: AssignDriverDto","import(""D:/Bthwani Project/backend/bthwani-backend-nest/src/modules/akhdimni/entities/errand-order.entity"").ErrandOrder",,src\modules\akhdimni\akhdimni.controller.ts,114
